Antall målepunkter;Volum (MWh);Prisomraade;Gruppe;Bruksdogn
34698;11621;NO4;Tjenesteyting;27.12.2022
1754;338;NO5;Jordbruk, skogbruk og fiske;27.12.2022
5308;266;NO5;Uklassifisert;27.12.2022
163;13123;NO5;Bergverksdrift og utvinning;27.12.2022
1227;10361;NO5;Industri;27.12.2022
972;1470;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;27.12.2022
850;161;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;27.12.2022
2765;445;NO5;Bygge- og anleggsvirksomhet;27.12.2022
45497;1768;NO5;Fritidsbolig;27.12.2022
254421;12787;NO5;Husholdning;27.12.2022
23018;8384;NO5;Tjenesteyting;27.12.2022
7325;1321;NO1;Jordbruk, skogbruk og fiske;26.12.2022
7577;657;NO1;Uklassifisert;26.12.2022
284;130;NO1;Bergverksdrift og utvinning;26.12.2022
4673;10808;NO1;Industri;26.12.2022
1740;3510;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;26.12.2022
2346;1165;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;26.12.2022
12101;2253;NO1;Bygge- og anleggsvirksomhet;26.12.2022
109084;3710;NO1;Fritidsbolig;26.12.2022
1057716;54544;NO1;Husholdning;26.12.2022
112774;31564;NO1;Tjenesteyting;26.12.2022
6688;1514;NO2;Jordbruk, skogbruk og fiske;26.12.2022
11898;746;NO2;Uklassifisert;26.12.2022
493;6189;NO2;Bergverksdrift og utvinning;26.12.2022
4120;35301;NO2;Industri;26.12.2022
2173;9174;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;26.12.2022
1775;500;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;26.12.2022
10459;1081;NO2;Bygge- og anleggsvirksomhet;26.12.2022
102733;2208;NO2;Fritidsbolig;26.12.2022
606094;30700;NO2;Husholdning;26.12.2022
65293;17195;NO2;Tjenesteyting;26.12.2022
12363;2265;NO3;Jordbruk, skogbruk og fiske;26.12.2022
3850;304;NO3;Uklassifisert;26.12.2022
231;4702;NO3;Bergverksdrift og utvinning;26.12.2022
3325;33078;NO3;Industri;26.12.2022
1913;2615;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;26.12.2022
1355;202;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;26.12.2022
5179;796;NO3;Bygge- og anleggsvirksomhet;26.12.2022
62197;1595;NO3;Fritidsbolig;26.12.2022
391020;20931;NO3;Husholdning;26.12.2022
48950;11333;NO3;Tjenesteyting;26.12.2022
3797;1372;NO4;Jordbruk, skogbruk og fiske;26.12.2022
4306;272;NO4;Uklassifisert;26.12.2022
199;4912;NO4;Bergverksdrift og utvinning;26.12.2022
1791;14854;NO4;Industri;26.12.2022
1052;4543;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;26.12.2022
832;141;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;26.12.2022
3587;601;NO4;Bygge- og anleggsvirksomhet;26.12.2022
43863;1390;NO4;Fritidsbolig;26.12.2022
240954;17830;NO4;Husholdning;26.12.2022
34704;11139;NO4;Tjenesteyting;26.12.2022
1753;337;NO5;Jordbruk, skogbruk og fiske;26.12.2022
5307;259;NO5;Uklassifisert;26.12.2022
163;13669;NO5;Bergverksdrift og utvinning;26.12.2022
1228;10264;NO5;Industri;26.12.2022
974;1374;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;26.12.2022
850;149;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;26.12.2022
2768;394;NO5;Bygge- og anleggsvirksomhet;26.12.2022
45494;1653;NO5;Fritidsbolig;26.12.2022
254397;12207;NO5;Husholdning;26.12.2022
23022;7286;NO5;Tjenesteyting;26.12.2022
7325;1459;NO1;Jordbruk, skogbruk og fiske;25.12.2022
7577;676;NO1;Uklassifisert;25.12.2022
284;139;NO1;Bergverksdrift og utvinning;25.12.2022
4673;10471;NO1;Industri;25.12.2022
1740;5354;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;25.12.2022
2346;1144;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;25.12.2022
12101;2433;NO1;Bygge- og anleggsvirksomhet;25.12.2022
109084;4276;NO1;Fritidsbolig;25.12.2022
1057694;63859;NO1;Husholdning;25.12.2022
112772;32439;NO1;Tjenesteyting;25.12.2022
6687;1575;NO2;Jordbruk, skogbruk og fiske;25.12.2022
11898;759;NO2;Uklassifisert;25.12.2022
493;6138;NO2;Bergverksdrift og utvinning;25.12.2022
4120;35544;NO2;Industri;25.12.2022
2172;10622;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;25.12.2022
1775;457;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;25.12.2022
10459;1075;NO2;Bygge- og anleggsvirksomhet;25.12.2022
102733;2569;NO2;Fritidsbolig;25.12.2022
606084;34298;NO2;Husholdning;25.12.2022
65284;16765;NO2;Tjenesteyting;25.12.2022
12363;2375;NO3;Jordbruk, skogbruk og fiske;25.12.2022
3850;319;NO3;Uklassifisert;25.12.2022
231;4651;NO3;Bergverksdrift og utvinning;25.12.2022
3325;33210;NO3;Industri;25.12.2022
1914;2702;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;25.12.2022
1355;204;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;25.12.2022
5181;853;NO3;Bygge- og anleggsvirksomhet;25.12.2022
62197;1899;NO3;Fritidsbolig;25.12.2022
391019;23398;NO3;Husholdning;25.12.2022
48949;11466;NO3;Tjenesteyting;25.12.2022
3795;1358;NO4;Jordbruk, skogbruk og fiske;25.12.2022
4305;268;NO4;Uklassifisert;25.12.2022
199;4903;NO4;Bergverksdrift og utvinning;25.12.2022
1790;14449;NO4;Industri;25.12.2022
1052;4519;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;25.12.2022
832;139;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;25.12.2022
3582;570;NO4;Bygge- og anleggsvirksomhet;25.12.2022
43859;1365;NO4;Fritidsbolig;25.12.2022
240925;17496;NO4;Husholdning;25.12.2022
34695;9298;NO4;Tjenesteyting;25.12.2022
1753;350;NO5;Jordbruk, skogbruk og fiske;25.12.2022
5307;262;NO5;Uklassifisert;25.12.2022
163;13653;NO5;Bergverksdrift og utvinning;25.12.2022
1228;10199;NO5;Industri;25.12.2022
974;1367;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;25.12.2022
850;134;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;25.12.2022
2768;387;NO5;Bygge- og anleggsvirksomhet;25.12.2022
45494;1841;NO5;Fritidsbolig;25.12.2022
254389;13219;NO5;Husholdning;25.12.2022
23021;6913;NO5;Tjenesteyting;25.12.2022
7325;1509;NO1;Jordbruk, skogbruk og fiske;24.12.2022
7577;680;NO1;Uklassifisert;24.12.2022
284;146;NO1;Bergverksdrift og utvinning;24.12.2022
4673;10523;NO1;Industri;24.12.2022
1740;4276;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;24.12.2022
2346;1177;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;24.12.2022
12101;2495;NO1;Bygge- og anleggsvirksomhet;24.12.2022
109084;4196;NO1;Fritidsbolig;24.12.2022
1057696;66679;NO1;Husholdning;24.12.2022
112774;33720;NO1;Tjenesteyting;24.12.2022
6687;1656;NO2;Jordbruk, skogbruk og fiske;24.12.2022
11898;766;NO2;Uklassifisert;24.12.2022
493;6231;NO2;Bergverksdrift og utvinning;24.12.2022
4120;35966;NO2;Industri;24.12.2022
2172;8437;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;24.12.2022
1775;469;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;24.12.2022
10463;1158;NO2;Bygge- og anleggsvirksomhet;24.12.2022
102733;2903;NO2;Fritidsbolig;24.12.2022
606085;38035;NO2;Husholdning;24.12.2022
65284;18278;NO2;Tjenesteyting;24.12.2022
12363;2389;NO3;Jordbruk, skogbruk og fiske;24.12.2022
3850;324;NO3;Uklassifisert;24.12.2022
231;4671;NO3;Bergverksdrift og utvinning;24.12.2022
3325;33266;NO3;Industri;24.12.2022
1914;3123;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;24.12.2022
1355;196;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;24.12.2022
5181;857;NO3;Bygge- og anleggsvirksomhet;24.12.2022
62199;1833;NO3;Fritidsbolig;24.12.2022
391020;24210;NO3;Husholdning;24.12.2022
48949;11984;NO3;Tjenesteyting;24.12.2022
3795;1367;NO4;Jordbruk, skogbruk og fiske;24.12.2022
4305;271;NO4;Uklassifisert;24.12.2022
199;4980;NO4;Bergverksdrift og utvinning;24.12.2022
1790;14044;NO4;Industri;24.12.2022
1052;4253;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;24.12.2022
832;142;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;24.12.2022
3582;572;NO4;Bygge- og anleggsvirksomhet;24.12.2022
43859;1374;NO4;Fritidsbolig;24.12.2022
240925;18153;NO4;Husholdning;24.12.2022
34695;9471;NO4;Tjenesteyting;24.12.2022
1753;365;NO5;Jordbruk, skogbruk og fiske;24.12.2022
5307;273;NO5;Uklassifisert;24.12.2022
163;13690;NO5;Bergverksdrift og utvinning;24.12.2022
1228;10274;NO5;Industri;24.12.2022
974;1408;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;24.12.2022
850;143;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;24.12.2022
2768;417;NO5;Bygge- og anleggsvirksomhet;24.12.2022
45494;1890;NO5;Fritidsbolig;24.12.2022
254388;14859;NO5;Husholdning;24.12.2022
23021;7696;NO5;Tjenesteyting;24.12.2022
7325;1372;NO1;Jordbruk, skogbruk og fiske;23.12.2022
7577;674;NO1;Uklassifisert;23.12.2022
284;162;NO1;Bergverksdrift og utvinning;23.12.2022
4673;11075;NO1;Industri;23.12.2022
1740;2157;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;23.12.2022
2346;1276;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;23.12.2022
12101;2619;NO1;Bygge- og anleggsvirksomhet;23.12.2022
109084;3570;NO1;Fritidsbolig;23.12.2022
1057695;57615;NO1;Husholdning;23.12.2022
112775;37189;NO1;Tjenesteyting;23.12.2022
6687;1579;NO2;Jordbruk, skogbruk og fiske;23.12.2022
11898;777;NO2;Uklassifisert;23.12.2022
493;6410;NO2;Bergverksdrift og utvinning;23.12.2022
4120;36490;NO2;Industri;23.12.2022
2172;4085;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;23.12.2022
1775;544;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;23.12.2022
10463;1283;NO2;Bygge- og anleggsvirksomhet;23.12.2022
102733;2326;NO2;Fritidsbolig;23.12.2022
606085;33284;NO2;Husholdning;23.12.2022
65284;20158;NO2;Tjenesteyting;23.12.2022
12363;2359;NO3;Jordbruk, skogbruk og fiske;23.12.2022
3850;328;NO3;Uklassifisert;23.12.2022
231;4693;NO3;Bergverksdrift og utvinning;23.12.2022
3325;35398;NO3;Industri;23.12.2022
1914;3083;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;23.12.2022
1355;232;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;23.12.2022
5180;922;NO3;Bygge- og anleggsvirksomhet;23.12.2022
62197;1736;NO3;Fritidsbolig;23.12.2022
391021;23447;NO3;Husholdning;23.12.2022
48949;13605;NO3;Tjenesteyting;23.12.2022
3795;1426;NO4;Jordbruk, skogbruk og fiske;23.12.2022
4305;275;NO4;Uklassifisert;23.12.2022
199;5123;NO4;Bergverksdrift og utvinning;23.12.2022
1790;14720;NO4;Industri;23.12.2022
1052;4097;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;23.12.2022
832;153;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;23.12.2022
3583;614;NO4;Bygge- og anleggsvirksomhet;23.12.2022
43859;1376;NO4;Fritidsbolig;23.12.2022
240926;18197;NO4;Husholdning;23.12.2022
34695;10603;NO4;Tjenesteyting;23.12.2022
1753;354;NO5;Jordbruk, skogbruk og fiske;23.12.2022
5307;269;NO5;Uklassifisert;23.12.2022
163;13526;NO5;Bergverksdrift og utvinning;23.12.2022
1228;10558;NO5;Industri;23.12.2022
974;1351;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;23.12.2022
850;154;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;23.12.2022
2769;460;NO5;Bygge- og anleggsvirksomhet;23.12.2022
45494;1585;NO5;Fritidsbolig;23.12.2022
254389;13668;NO5;Husholdning;23.12.2022
23021;8677;NO5;Tjenesteyting;23.12.2022
7327;1260;NO1;Jordbruk, skogbruk og fiske;22.12.2022
7578;652;NO1;Uklassifisert;22.12.2022
284;217;NO1;Bergverksdrift og utvinning;22.12.2022
4674;12371;NO1;Industri;22.12.2022
1742;1655;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;22.12.2022
