area,mean_price,compensation,type,estimation_date
NO2,4.74412643018514,3.48221378716663,quantile_89.3%,2022-09-25
NO2,4.74448754102104,3.48253878691893,quantile_89.4%,2022-09-25
NO2,4.74475579590714,3.48278021631642,quantile_89.5%,2022-09-25
NO2,4.74493536761504,3.48294183085354,quantile_89.6%,2022-09-25
NO2,4.74561293600827,3.48355164240744,quantile_89.7%,2022-09-25
NO2,4.74607289253151,3.48396560327836,quantile_89.8%,2022-09-25
NO2,4.74632143176541,3.48418928858887,quantile_89.9%,2022-09-25
NO2,4.74665471294122,3.4844892416471,quantile_90%,2022-09-25
NO2,4.74707605249307,3.48486844724376,quantile_90.1%,2022-09-25
NO2,4.74750068725416,3.48525061852874,quantile_90.2%,2022-09-25
NO2,4.74786302723815,3.48557672451433,quantile_90.3%,2022-09-25
NO2,4.74808578706733,3.48577720836059,quantile_90.4%,2022-09-25
NO2,4.74857885825406,3.48622097242865,quantile_90.5%,2022-09-25
NO2,4.74904386852773,3.48663948167495,quantile_90.6%,2022-09-25
NO2,4.7493228921979,3.48689060297811,quantile_90.7%,2022-09-25
NO2,4.74969873862407,3.48722886476167,quantile_90.8%,2022-09-25
NO2,4.75027862694458,3.48775076425012,quantile_90.9%,2022-09-25
NO2,4.75055803690893,3.48800223321804,quantile_91%,2022-09-25
NO2,4.75112677964789,3.4885141016831,quantile_91.1%,2022-09-25
NO2,4.7516684048316,3.48900156434844,quantile_91.2%,2022-09-25
NO2,4.75193477797153,3.48924130017437,quantile_91.3%,2022-09-25
NO2,4.75233846825976,3.48960462143378,quantile_91.4%,2022-09-25
NO2,4.75268586758751,3.48991728082876,quantile_91.5%,2022-09-25
NO2,4.75330410230274,3.49047369207247,quantile_91.6%,2022-09-25
NO2,4.75365050819386,3.49078545737448,quantile_91.7%,2022-09-25
NO2,4.75395708241703,3.49106137417532,quantile_91.8%,2022-09-25
NO2,4.75424452011495,3.49132006810346,quantile_91.9%,2022-09-25
NO2,4.75480612626651,3.49182551363986,quantile_92%,2022-09-25
NO2,4.75523441468121,3.49221097321309,quantile_92.1%,2022-09-25
NO2,4.75583306930378,3.4927497623734,quantile_92.2%,2022-09-25
NO2,4.75630667070633,3.4931760036357,quantile_92.3%,2022-09-25
NO2,4.75698438297843,3.49378594468058,quantile_92.4%,2022-09-25
NO2,4.75737757603098,3.49413981842788,quantile_92.5%,2022-09-25
NO2,4.75781276764649,3.49453149088184,quantile_92.6%,2022-09-25
NO2,4.75826421861394,3.49493779675254,quantile_92.7%,2022-09-25
NO2,4.75869431747929,3.49532488573136,quantile_92.8%,2022-09-25
NO2,4.75916360741739,3.49574724667565,quantile_92.9%,2022-09-25
NO2,4.75964008774929,3.49617607897436,quantile_93%,2022-09-25
NO2,4.76002820310269,3.49652538279242,quantile_93.1%,2022-09-25
NO2,4.76050438353202,3.49695394517882,quantile_93.2%,2022-09-25
NO2,4.76101152221761,3.49741036999585,quantile_93.3%,2022-09-25
NO2,4.76126679355804,3.49764011420223,quantile_93.4%,2022-09-25
NO2,4.76179352660334,3.49811417394301,quantile_93.5%,2022-09-25
NO2,4.76210607979362,3.49839547181426,quantile_93.6%,2022-09-25
NO2,4.76269113488114,3.49892202139303,quantile_93.7%,2022-09-25
NO2,4.76302465909237,3.49922219318313,quantile_93.8%,2022-09-25
NO2,4.76358111714856,3.49972300543371,quantile_93.9%,2022-09-25
NO2,4.76413610669583,3.50022249602625,quantile_94%,2022-09-25
NO2,4.76475997939897,3.50078398145907,quantile_94.1%,2022-09-25
NO2,4.76526949263809,3.50124254337428,quantile_94.2%,2022-09-25
NO2,4.76566893821906,3.50160204439715,quantile_94.3%,2022-09-25
NO2,4.76658895669358,3.50243006102422,quantile_94.4%,2022-09-25
NO2,4.76711629829771,3.50290466846794,quantile_94.5%,2022-09-25
NO2,4.76789802937054,3.50360822643348,quantile_94.6%,2022-09-25
NO2,4.76883178654698,3.50444860789228,quantile_94.7%,2022-09-25
NO2,4.76925459763285,3.50482913786956,quantile_94.8%,2022-09-25
NO2,4.76996719441167,3.50547047497051,quantile_94.9%,2022-09-25
NO2,4.77060819952702,3.50604737957432,quantile_95%,2022-09-25
