area,date,start_hour,price,compensation,filtered_price
NO2,2022-12-04,4,2.6931375,2.23403851814516,0.45909898185484
NO2,2022-12-04,5,2.747675,2.23403851814516,0.51363648185484
NO2,2022-12-04,6,2.7251625,2.23403851814516,0.49112398185484
NO2,2022-12-04,7,2.87705,2.23403851814516,0.64301148185484
NO2,2022-12-04,8,3.2833125,2.23403851814516,1.04927398185484
NO2,2022-12-04,9,3.5993,2.23403851814516,1.36526148185484
NO2,2022-12-04,10,3.7477125,2.23403851814516,1.51367398185484
NO2,2022-12-04,11,3.8205,2.23403851814516,1.58646148185484
NO2,2022-12-04,12,3.799025,2.23403851814516,1.56498648185484
NO2,2022-12-04,13,3.7576125,2.23403851814516,1.52357398185484
NO2,2022-12-04,14,3.8142,2.23403851814516,1.58016148185484
NO2,2022-12-04,15,3.83735,2.23403851814516,1.60331148185484
NO2,2022-12-04,16,4.0489125,2.23403851814516,1.81487398185484
NO2,2022-12-04,17,4.329525,2.23403851814516,2.09548648185484
NO2,2022-12-04,18,3.7991625,2.23403851814516,1.56512398185484
NO2,2022-12-04,19,3.7635375,2.23403851814516,1.52949898185484
NO2,2022-12-04,20,3.357525,2.23403851814516,1.12348648185484
NO2,2022-12-04,21,3.47185,2.23403851814516,1.23781148185484
NO2,2022-12-04,22,3.3135375,2.23403851814516,1.07949898185484
NO2,2022-12-04,23,3.088475,2.23403851814516,0.85443648185484
NO2,2022-12-05,0,2.72285,2.23403851814516,0.48881148185484
NO2,2022-12-05,1,2.5945,2.23403851814516,0.36046148185484
NO2,2022-12-05,2,2.426675,2.23403851814516,0.19263648185484
NO2,2022-12-05,3,2.4112375,2.23403851814516,0.17719898185484
NO2,2022-12-05,4,2.3553,2.23403851814516,0.12126148185484
NO2,2022-12-05,5,3.142875,2.23403851814516,0.90883648185484
NO2,2022-12-05,6,3.3910875,2.23403851814516,1.15704898185484
NO2,2022-12-05,7,3.59545,2.23403851814516,1.36141148185484
NO2,2022-12-05,8,3.6041875,2.23403851814516,1.37014898185484
NO2,2022-12-05,9,3.746425,2.23403851814516,1.51238648185484
NO2,2022-12-05,10,3.9089875,2.23403851814516,1.67494898185484
NO2,2022-12-05,11,4.107175,2.23403851814516,1.87313648185484
NO2,2022-12-05,12,4.042225,2.23403851814516,1.80818648185484
NO2,2022-12-05,13,3.99605,2.23403851814516,1.76201148185484
NO2,2022-12-05,14,4.1950125,2.23403851814516,1.96097398185484
NO2,2022-12-05,15,4.0356625,2.23403851814516,1.80162398185484
NO2,2022-12-05,16,4.1073,2.23403851814516,1.87326148185484
NO2,2022-12-05,17,4.4884875,2.23403851814516,2.25444898185484
NO2,2022-12-05,18,5.05435,2.23403851814516,2.82031148185484
NO2,2022-12-05,19,4.107175,2.23403851814516,1.87313648185484
NO2,2022-12-05,20,3.9552875,2.23403851814516,1.72124898185484
NO2,2022-12-05,21,3.896,2.23403851814516,1.66196148185484
NO2,2022-12-05,22,3.7082375,2.23403851814516,1.47419898185484
NO2,2022-12-05,23,3.5359,2.23403851814516,1.30186148185484
NO2,2022-12-06,0,3.4825625,2.23403851814516,1.24852398185484
NO2,2022-12-06,1,3.466575,2.23403851814516,1.23253648185484
NO2,2022-12-06,2,3.44915,2.23403851814516,1.21511148185484
NO2,2022-12-06,3,3.448125,2.23403851814516,1.21408648185484
NO2,2022-12-06,4,3.4766375,2.23403851814516,1.24259898185484
NO2,2022-12-06,5,3.55855,2.23403851814516,1.32451148185484
NO2,2022-12-06,6,3.857475,2.23403851814516,1.62343648185484
NO2,2022-12-06,7,4.13485,2.23403851814516,1.90081148185484
NO2,2022-12-06,8,5.1952125,2.23403851814516,2.96117398185484
NO2,2022-12-06,9,5.7441625,2.23403851814516,3.51012398185484
NO2,2022-12-06,10,5.1601125,2.23403851814516,2.92607398185484
NO2,2022-12-06,11,5.5850875,2.23403851814516,3.35104898185484
NO2,2022-12-06,12,4.177425,2.23403851814516,1.94338648185484
NO2,2022-12-06,13,4.5980125,2.23403851814516,2.36397398185484
NO2,2022-12-06,14,5.1598625,2.23403851814516,2.92582398185484
NO2,2022-12-06,15,4.9178375,2.23403851814516,2.68379898185484
