postnr,poststed,kommune,NO 1,NO 2,NO 3,NO 4,NO 5
0563,OSLO,0301,220460.975750127,0,0,0,0
0564,OSLO,0301,48685.451600017,0,0,0,0
0565,OSLO,0301,77619.3499999987,0,0,0,0
0565,OSLO,0301,4677.68260001368,0,0,0,0
0566,OSLO,0301,2679.29480001261,0,0,0,0
0566,OSLO,0301,3350.22770001646,0,0,0,0
0566,OSLO,0301,163694.729449907,0,0,0,0
0567,OSLO,0301,62019.9332999531,0,0,0,0
0568,OSLO,0301,74733.9895999809,0,0,0,0
0569,OSLO,0301,140222.75345004,0,0,0,0
0570,OSLO,0301,99792.072999944,0,0,0,0
0571,OSLO,0301,169590.758700096,0,0,0,0
0572,OSLO,0301,115495.381199956,0,0,0,0
0573,OSLO,0301,40016.138449993,0,0,0,0
0574,OSLO,0301,63247.2574999784,0,0,0,0
0575,OSLO,0301,419369.006849915,0,0,0,0
0576,OSLO,0301,304588.337699878,0,0,0,0
0577,OSLO,0301,6729.77660003584,0,0,0,0
0577,OSLO,0301,86046.0347000472,0,0,0,0
0578,OSLO,0301,66287.1155998507,0,0,0,0
0579,OSLO,0301,434198.622699862,0,0,0,0
0580,OSLO,0301,774678.216949854,0,0,0,0
0581,OSLO,0301,58225.1429500952,0,0,0,0
0581,OSLO,0301,1107368.0071501,0,0,0,0
0582,OSLO,0301,682218.326999959,0,0,0,0
0583,OSLO,0301,367259.746599866,0,0,0,0
0584,OSLO,0301,342698.337599909,0,0,0,0
0585,OSLO,0301,569950.217549902,0,0,0,0
0586,OSLO,0301,663231.739950135,0,0,0,0
0587,OSLO,0301,435056.012800073,0,0,0,0
0588,OSLO,0301,443455.105299991,0,0,0,0
0589,OSLO,0301,389191.04210023,0,0,0,0
0590,OSLO,0301,1747416.16479972,0,0,0,0
0591,OSLO,0301,383559.131050039,0,0,0,0
0592,OSLO,0301,170390.800399957,0,0,0,0
0593,OSLO,0301,2238723.94275013,0,0,0,0
0594,OSLO,0301,330844.961850012,0,0,0,0
0595,OSLO,0301,169721.178499945,0,0,0,0
0596,OSLO,0301,495429.695299931,0,0,0,0
0597,OSLO,0301,213357.890550047,0,0,0,0
0598,OSLO,0301,463788.538350015,0,0,0,0
0650,OSLO,0301,100523.971149884,0,0,0,0
0651,OSLO,0301,44384.646800044,0,0,0,0
0652,OSLO,0301,48462.8289499921,0,0,0,0
0652,OSLO,0301,22008.0270500048,0,0,0,0
0653,OSLO,0301,69784.6819999367,0,0,0,0
0654,OSLO,0301,130161.364600003,0,0,0,0
0655,OSLO,0301,336580.439000197,0,0,0,0
0656,OSLO,0301,172159.184150022,0,0,0,0
0657,OSLO,0301,341908.772999931,0,0,0,0
0658,OSLO,0301,258662.881300138,0,0,0,0
0659,OSLO,0301,200152.51215011,0,0,0,0
0660,OSLO,0301,262854.768799819,0,0,0,0
0661,OSLO,0301,279528.411599997,0,0,0,0
