postnr,nettselskap,prisomraade,intersection_area
1065,ELVIA AS,NO 1,211747.738300018
1067,ELVIA AS,NO 1,402262.6274499
1068,ELVIA AS,NO 1,364399.212100118
1069,ELVIA AS,NO 1,206836.167149954
1071,ELVIA AS,NO 1,95188.0000000224
1081,ELVIA AS,NO 1,1863883.94954988
1083,ELVIA AS,NO 1,376639.321850131
1084,ELVIA AS,NO 1,386283.595900059
1086,ELVIA AS,NO 1,842039.201399878
1087,ELVIA AS,NO 1,378476.357750031
1088,ELVIA AS,NO 1,484821.066750063
1089,ELVIA AS,NO 1,164536.853099935
1150,ELVIA AS,NO 1,166963.083599994
1151,ELVIA AS,NO 1,108901.647300014
1152,ELVIA AS,NO 1,442984.460850071
1153,ELVIA AS,NO 1,307691.284750149
1154,ELVIA AS,NO 1,373291.62204998
1155,ELVIA AS,NO 1,230899.953649934
1156,ELVIA AS,NO 1,331637.248299994
1157,ELVIA AS,NO 1,186599.197250057
1158,ELVIA AS,NO 1,164569.92330014
1160,ELVIA AS,NO 1,160114.392549972
1160,ELVIA AS,NO 1,17609.9905000087
1161,ELVIA AS,NO 1,114267.418599888
1162,ELVIA AS,NO 1,508643.151350137
1163,ELVIA AS,NO 1,566119.571250197
1163,ELVIA AS,NO 1,63093.1837999355
1164,ELVIA AS,NO 1,919816.19674997
1165,ELVIA AS,NO 1,796788.942149968
1165,ELVIA AS,NO 1,27177.7407499864
1165,ELVIA AS,NO 1,17905.8979000058
1166,ELVIA AS,NO 1,727864.841199991
1167,ELVIA AS,NO 1,393127.921350125
1168,ELVIA AS,NO 1,674393.506199955
1169,ELVIA AS,NO 1,4480465.99301815
1169,ELVIA AS,NO 1,289490.998250011
1169,NORGESNETT AS,NO 1,1021.57118184972
1170,ELVIA AS,NO 1,428905.851700094
1172,ELVIA AS,NO 1,58108.9767499976
1176,ELVIA AS,NO 1,477562.787600005
1177,ELVIA AS,NO 1,1127327.63579994
1178,ELVIA AS,NO 1,872489.20029994
1179,ELVIA AS,NO 1,510988.7435998
1181,ELVIA AS,NO 1,1376430.26660016
1182,ELVIA AS,NO 1,890094.364200055
1184,ELVIA AS,NO 1,275806.345849911
1185,ELVIA AS,NO 1,581695.733550099
1187,ELVIA AS,NO 1,1348855.40484997
1188,ELVIA AS,NO 1,595489.003400147
1189,ELVIA AS,NO 1,42009.1755001061
1250,ELVIA AS,NO 1,2552552.96256068
1250,NORGESNETT AS,NO 1,617.079439122917
1251,ELVIA AS,NO 1,730829.602650523
1252,ELVIA AS,NO 1,419077.834899798
1253,ELVIA AS,NO 1,252160.551150099
1254,ELVIA AS,NO 1,386797.335399848
1255,ELVIA AS,NO 1,73213.1845500036
1256,ELVIA AS,NO 1,239188.906200089
1257,ELVIA AS,NO 1,268485.147500008
1258,ELVIA AS,NO 1,274816.056249954
1259,ELVIA AS,NO 1,275387.748000056
1262,ELVIA AS,NO 1,416288.381100116
1263,ELVIA AS,NO 1,2571396.77265143
1266,ELVIA AS,NO 1,1397910.71885
1270,ELVIA AS,NO 1,308062.038999961
1271,ELVIA AS,NO 1,163888.880749896
1272,ELVIA AS,NO 1,169969.169650123
1273,ELVIA AS,NO 1,160539.636814752
1274,ELVIA AS,NO 1,442385.667264946
1275,ELVIA AS,NO 1,467966.484950051
1278,ELVIA AS,NO 1,390844.365199922
1279,ELVIA AS,NO 1,12680729.9366499
1281,ELVIA AS,NO 1,474361.669350002
1283,ELVIA AS,NO 1,566058.421950028
1284,ELVIA AS,NO 1,477967.553300113
1285,ELVIA AS,NO 1,1108685.61530018
1286,ELVIA AS,NO 1,82898.9157999028
1290,ELVIA AS,NO 1,3445775.06516793
1291,ELVIA AS,NO 1,1990685.15745941
1291,NORGESNETT AS,NO 1,841.346390449253
1294,ELVIA AS,NO 1,383842.585750088
1295,ELVIA AS,NO 1,1192838.18158258
1295,NORGESNETT AS,NO 1,7572.76461728188
1311,ELVIA AS,NO 1,249048.800750113
1336,ELVIA AS,NO 1,1094902.01559995
1337,ELVIA AS,NO 1,2730627.49694983
1337,ELVIA AS,NO 1,387758.731949993
1338,ELVIA AS,NO 1,1440265.69600029
1339,ELVIA AS,NO 1,4754957.97969948
1340,ELVIA AS,NO 1,40324182.5695386
1340,FØIE AS,NO 1,279745.264131457
1340,GLITRE ENERGI NETT AS,NO 1,3055.25952780543
1341,ELVIA AS,NO 1,26541009.9291482
1341,GLITRE ENERGI NETT AS,NO 1,5005.34150366883
1344,ELVIA AS,NO 1,2980858.23605006
1346,ELVIA AS,NO 1,5313388.25884974
1348,ELVIA AS,NO 1,1339414.7120499
1349,ELVIA AS,NO 1,2135327.8340501
1350,ELVIA AS,NO 1,49385298.0383897
1350,FØIE AS,NO 1,5984005.37771231
1351,ELVIA AS,NO 1,937131.778700022
1352,ELVIA AS,NO 1,2421101.7513501
1353,ELVIA AS,NO 1,4583890.9276997
1354,ELVIA AS,NO 1,715861.178800066
1356,ELVIA AS,NO 1,12465128.6921989
1357,ELVIA AS,NO 1,1860686.03824994
1358,ELVIA AS,NO 1,3576063.9412499
1359,ELVIA AS,NO 1,19341048.3527995
1360,ELVIA AS,NO 1,3163156.3862499
1361,ELVIA AS,NO 1,901436.76364997
1362,ELVIA AS,NO 1,2159268.09324999
1363,ELVIA AS,NO 1,4487347.42729978
1364,ELVIA AS,NO 1,4460827.3262008
1365,ELVIA AS,NO 1,1965477.07399988
1366,ELVIA AS,NO 1,2326578.06889996
1367,ELVIA AS,NO 1,21982131.9294197
1368,ELVIA AS,NO 1,916496.9511001
1368,ELVIA AS,NO 1,692665.515449925
1369,ELVIA AS,NO 1,1589093.16850002
1383,ELVIA AS,NO 1,6060212.97315125
1383,GLITRE ENERGI NETT AS,NO 1,472.277649361291
1384,ELVIA AS,NO 1,23412294.6830278
1384,GLITRE ENERGI NETT AS,NO 1,2735.80452257734
1385,ELVIA AS,NO 1,13784921.8573139
1385,GLITRE ENERGI NETT AS,NO 1,3869.31724145567
1385,NORGESNETT AS,NO 1,3181.66574434477
1386,ELVIA AS,NO 1,3271743.47075027
1387,ELVIA AS,NO 1,2540880.96294959
1388,ELVIA AS,NO 1,2563074.0311001
1389,ELVIA AS,NO 1,11940065.7365184
1389,NORGESNETT AS,NO 1,7028336.83273184
1390,ELVIA AS,NO 1,9617632.66991868
1390,NORGESNETT AS,NO 1,427.061031405003
1391,ELVIA AS,NO 1,1740718.23789281
1391,NORGESNETT AS,NO 1,133.5104072252
1392,ELVIA AS,NO 1,14720103.9223348
1392,NORGESNETT AS,NO 1,129.680415183162
1394,ELVIA AS,NO 1,5624110.89480003
1395,ELVIA AS,NO 1,3514141.51529984
1396,ELVIA AS,NO 1,3053742.90950023
1397,ELVIA AS,NO 1,11136243.5123002
1400,NORGESNETT AS,NO 1,6071998.54919918
1404,NORGESNETT AS,NO 1,86612088.7686075
1404,ELVIA AS,NO 1,3907168.11304235
1405,NORGESNETT AS,NO 1,9958300.2423078
1405,ELVIA AS,NO 1,1905.65244222861
1406,NORGESNETT AS,NO 1,1239026.62685795
1406,ELVIA AS,NO 1,851640.256042671
1407,ELVIA AS,NO 1,33013895.9879858
