nettselskap,konsesjonType,eierType,NO 1,NO 2,NO 3,NO 4,NO 5
NTNU_dup_2,VANLIG,NÆRINGSPARK,0,0,194207.285837196,0,0
NTNU_dup_3,VANLIG,NÆRINGSPARK,0,0,58353.1697518276,0,0
ODDA ENERGI NETT AS,VANLIG,EVERK,0,1730796524.14913,0,0,10.7628680639361
RAKKESTAD ENERGI AS,VANLIG,EVERK,434803413.600171,0,0,0,0
RANHEIM PAPER & BOARD AS,VANLIG,INDUSTRI,0,0,185883.686268657,0,0
RAUFOSS NÆRINGSPARK, ,INDUSTRI,187316.365976992,0,0,0,0
RK NETT AS,VANLIG,EVERK,0,1854505590.32019,0,0,1.96721699045029
ROLLAG ELEKTRISITETSVERK AS,VANLIG,EVERK,447779323.539661,1.84293282820202,0,0,1.15921481250552
ROMSDALSNETT AS,VANLIG,EVERK,0,0,1639411920.81639,0,0
RØROS E-VERK NETT AS,VANLIG,EVERK,1959490545.99867,0,4.46701284017235,0,0
S-NETT AS,VANLIG,EVERK,0,0,2468302471.15855,0,0
SANDØY NETT AS,VANLIG,EVERK,0,0,1011102639.69196,0,0
SIMONSVIKEN NÆRINGSPARK AS, ,INDUSTRI,0,0,0,0,181966.407500087
SKIAKERNETT AS,VANLIG,EVERK,0,0,2089499892.13398,0,1892.09429336176
STANGE ENERGI NETT AS,VANLIG,EVERK,724407436.665909,0,0,0,0
STANNUM AS,VANLIG,EVERK,0.139997977253343,2049963140.58433,0,0,5.89060184795811
STRAUMEN NETT AS,VANLIG,EVERK,0,0,402109109.646707,0,0
STRAUMNETT AS,VANLIG,EVERK,1.32880123769957,0,0,0,1011038755.89745
SUNETT AS,VANLIG,EVERK,0,0,1802760471.71155,0,0
SYGNIR AS,VANLIG,EVERK,2.1310828818361,0,1.21614008498727,0,5474413165.44168
SØR AURDAL ENERGI AS,VANLIG,EVERK,1110007737.05152,0,0,0,0.263927316598198
TENSIO TN AS,FORENKLET,EVERK,0,0,23076776308.5067,6615071427.84235,0
TENSIO TS AS,VANLIG,EVERK,0.367233838004008,0,23835771162.8758,0,0
TINDRA NETT AS,VANLIG,EVERK,0,0,956009575.930284,0,0
TINFOS AS,VANLIG,INDUSTRI,0,211484.572499898,0,0,0
TITANIA AS,VANLIG,INDUSTRI,0,20800733.3947012,0,0,0
TIZIR TITANIUM & IRON AS, ,INDUSTRI,0,141076.247266136,0,0,0
TROLLFJORD KRAFT AS,VANLIG,EVERK,0,0,0,1183470228.42522,0
UVDAL KRAFTFORSYNING SA,VANLIG,EVERK,0,0.180028795921552,0,0,1733063792.70169
VAFOS PULP AS, ,INDUSTRI,0,82478.4459329248,0,0,0
VANG ENERGIVERK AS,VANLIG,EVERK,1473864241.76368,0,2.23130017518997,0,1.79977347811882
VEST-TELEMARK KRAFTLAG NETT AS,VANLIG,EVERK,0,5695835286.1686,0,0,0
VESTALL AS,VANLIG,EVERK,0,0,0,5001655751.70848,0
VESTMAR NETT AS,VANLIG,EVERK,0,1058911070.87413,0,0,0
VEVIG AS,VANLIG,EVERK,3670721201.19102,0,5.23674854804051,0,0
VISSI AS,VANLIG,EVERK,0,0,0,18769924853.3781,0
VONETT AS,VANLIG,EVERK,0,0,0,0,1845487175.90721
YARA NORGE AS,VANLIG,INDUSTRI,0,0,0,775739.152079314,0
